Genome,Consensus
GCF_000005845,0.9284746554543332
GCF_000006665,0.9628004369992718
GCF_000006925,0.9070563549160672
GCF_000007405,0.9264454223200099
GCF_000007445,0.9250544662309368
GCF_000007565,0.8278136200716846
GCF_000008545,0.6155310150375939
GCF_000009045,0.7421299683004146
GCF_000009065,0.8950376579203111
GCF_000009205,0.7060055671537926
GCF_000009425,0.6209411583487369
GCF_000009565,0.9600744476464939
GCF_000009645,0.9180079018506966
GCF_000009725,0.8278711484593837
GCF_000010245,0.9362563737697142
GCF_000010385,0.9221342512908779
GCF_000010745,1.0
GCF_000010765,1.0
GCF_000012005,0.881289194404245
GCF_000012025,0.9403564727954973
GCF_000012525,0.55994227994228
GCF_000012925,0.7316592412582692
GCF_000013265,0.9582032174118759
GCF_000013305,0.9632405424696645
GCF_000013585,0.9531906763469622
GCF_000014845,1.0
GCF_000016305,1.0
GCF_000017085,0.8950888498340168
GCF_000017745,0.9579741379310345
GCF_000017765,1.0
GCF_000017985,1.0
GCF_000019385,1.0
GCF_000019425,0.9418909221385001
GCF_000019645,0.9641463987780521
GCF_000020185,0.943356155699252
GCF_000021125,1.0
GCF_000022225,1.0
GCF_000022245,1.0
GCF_000022345,0.9438151743976987
GCF_000022665,1.0
GCF_000023365,1.0
GCF_000023665,0.906174100556123
GCF_000025165,0.9286124794745485
GCF_000025745,1.0
GCF_000026245,1.0
GCF_000026265,0.9228045817424506
GCF_000026285,1.0
GCF_000026305,0.9537030303030303
GCF_000026325,1.0
GCF_000026545,1.0
GCF_000027125,1.0
GCF_000069245,0.7756138392857143
GCF_000091005,1.0
GCF_000092525,1.0
GCF_000143685,0.7143524076297185
GCF_000146045,0.5249551166965888
GCF_000148365,0.9611431316042267
GCF_000148605,0.9311481096080472
GCF_000183345,0.9193415637860082
GCF_000184185,1.0
GCF_000195955,0.6035975928833072
GCF_000210475,0.960948597568316
GCF_000212715,0.9352051460361616
GCF_000270105,1.0
GCF_000284495,1.0
GCF_000982435,1.0
GCF_002079225,1.0
